"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","6","0.0-0.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","4446","0.0-1.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","4437.810000003083","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","28506","0.0-2.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"keyset-select","3","73780","0.0-3.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","140484","0.0-4.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","1","6","0.7","","","","","","","","","",""
"headphone-backwards-check","5","149237","0.0-5.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","0","","","","","","","","","","","",""
"training","6","225421","0.0-6.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"block-bookend","7","237936","0.0-7.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","8","244436","0.0-8.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","10","3272"
"echo-presentation","9","251577","0.0-9.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","10","4674"
"echo-presentation","10","257547","0.0-10.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","10","3722"
"echo-presentation","11","261492","0.0-11.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","1349"
"echo-presentation","12","264357","0.0-12.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-10","1443"
"echo-presentation","13","269671","0.0-13.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","10","3887"
"echo-presentation","14","273330","0.0-14.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","1618"
"echo-presentation","15","276870","0.0-15.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","-10","1679"
"echo-presentation","16","279290","0.0-16.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","1206"
"echo-presentation","17","282030","0.0-17.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","1172"
"echo-presentation","18","286050","0.0-18.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","-10","2869"
"echo-presentation","19","288610","0.0-19.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","1227"
"echo-presentation","20","291611","0.0-20.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","1792"
"echo-presentation","21","294380","0.0-21.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","1529"
"echo-presentation","22","299840","0.0-22.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","0","4255"
"echo-presentation","23","303110","0.0-23.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","2022"
"echo-presentation","24","306950","0.0-24.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","0","2768"
"echo-presentation","25","310420","0.0-25.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","10","2091"
"echo-presentation","26","314899","0.0-26.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-10","3026"
"echo-presentation","27","317880","0.0-27.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-20","1246"
"block-bookend","28","320582","0.0-28.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"block-bookend","29","331292","0.0-29.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","30","336312","0.0-30.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-20","1459"
"echo-presentation","31","346968","0.0-31.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","0","996"
"echo-presentation","32","351257","0.0-32.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","919"
"echo-presentation","33","354496","0.0-33.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-20","1055"
"echo-presentation","34","357197","0.0-34.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","1571"
"echo-presentation","35","359847","0.0-35.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","10","1500"
"echo-presentation","36","362565","0.0-36.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","10","1277"
"echo-presentation","37","365246","0.0-37.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","1000"
"echo-presentation","38","367457","0.0-38.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","987"
"echo-presentation","39","370897","0.0-39.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","0","2351"
"echo-presentation","40","373057","0.0-40.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","10","982"
"echo-presentation","41","375517","0.0-41.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","1282"
"echo-presentation","42","377718","0.0-42.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","1056"
"echo-presentation","43","379956","0.0-43.0","5fc1a39a9c39d72827b3604c","5fef55e628823a0076ec12ee","601f447eeadd2f497deae0d6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","1008"
