"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","5","0.0-0.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","2166","0.0-1.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","2158.199999947101","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","36916","0.0-2.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","140044","0.0-3.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","217743","0.0-4.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","228491","0.0-5.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","326027","0.0-6.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","340941","0.0-7.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","352160","0.0-8.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","80","8236"
"echo-presentation","9","356280","0.0-9.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","80","1991"
"echo-presentation","10","360459","0.0-10.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","80","2355"
"echo-presentation","11","364550","0.0-11.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a70.wav","spherical","20","10","half","matched","70","80","2549"
"echo-presentation","12","368988","0.0-12.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","70","2978"
"echo-presentation","13","372713","0.0-13.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","80","1935"
"echo-presentation","14","375978","0.0-14.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","80","1644"
"echo-presentation","15","383522","0.0-15.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a70.wav","spherical","20","10","half","matched","70","80","5630"
"echo-presentation","16","388714","0.0-16.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a70.wav","spherical","20","10","half","matched","70","80","2888"
"echo-presentation","17","395345","0.0-17.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a70.wav","spherical","20","10","half","matched","70","80","4168"
"echo-presentation","18","401381","0.0-18.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","80","4596"
"echo-presentation","19","408509","0.0-19.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","70","3116"
"echo-presentation","20","413121","0.0-20.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","80","2151"
"echo-presentation","21","417386","0.0-21.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a40.wav","spherical","20","10","half","matched","40","70","2468"
"echo-presentation","22","426555","0.0-22.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","80","5863"
"echo-presentation","23","430501","0.0-23.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a40.wav","spherical","20","10","half","matched","40","70","2186"
"echo-presentation","24","444810","0.0-24.0","5f6cf5c1a7717114223fcd3d","60242478c74f84097a222710","6024271e6d5980099fc15125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","70","10305"
