"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","2","0.0-0.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","41656","0.0-1.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","41653.2850000076","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","13","","","","","","","","","","","","","",""
"consent-form","2","85778","0.0-2.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"keyset-select","3","114398","0.0-3.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","173269","0.0-4.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","0","6","1","","","","","","","","","",""
"headphone-backwards-check","5","184228","0.0-5.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","0","","","","","","","","","","","",""
"training","6","275788","0.0-6.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"block-bookend","7","287529","0.0-7.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","8","302344","0.0-8.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-80.wav","spherical","20","20","full","matched","-80","-70","9944"
"echo-presentation","9","309813","0.0-9.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-50.wav","spherical","20","20","full","matched","-50","-80","5910"
"echo-presentation","10","314012","0.0-10.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-70.wav","spherical","20","20","full","matched","-70","-60","2126"
"echo-presentation","11","316723","0.0-11.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-70.wav","spherical","20","20","full","matched","-70","-60","1459"
"echo-presentation","12","319652","0.0-12.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-50.wav","spherical","20","20","full","matched","-50","-70","1754"
"echo-presentation","13","324086","0.0-13.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-80.wav","spherical","20","20","full","matched","-80","-60","2725"
"echo-presentation","14","326613","0.0-14.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-60.wav","spherical","20","20","full","matched","-60","-50","1278"
"echo-presentation","15","328815","0.0-15.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-40.wav","spherical","20","20","full","matched","-40","-40","1000"
"echo-presentation","16","332102","0.0-16.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-40.wav","spherical","20","20","full","matched","-40","-40","2297"
"echo-presentation","17","334924","0.0-17.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-40.wav","spherical","20","20","full","matched","-40","-80","1528"
"echo-presentation","18","337374","0.0-18.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-80.wav","spherical","20","20","full","matched","-80","-70","1388"
"echo-presentation","19","340678","0.0-19.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-80.wav","spherical","20","20","full","matched","-80","-50","2325"
"echo-presentation","20","343144","0.0-20.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-70.wav","spherical","20","20","full","matched","-70","-50","1368"
"echo-presentation","21","347096","0.0-21.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-60.wav","spherical","20","20","full","matched","-60","-40","2824"
"echo-presentation","22","355344","0.0-22.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-50.wav","spherical","20","20","full","matched","-50","-60","7091"
"echo-presentation","23","360916","0.0-23.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-60.wav","spherical","20","20","full","matched","-60","-80","1258"
"echo-presentation","24","363871","0.0-24.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-50.wav","spherical","20","20","full","matched","-50","-50","1931"
"echo-presentation","25","365658","0.0-25.0","5e171824fb00b6025387f90b","5fef55e628823a0076ec12ee","601f446bec317f4a8e1aa705","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-60.wav","spherical","20","20","full","matched","-60","-40","816"
